标记	英文	音标	中文
	neighbor	5neibE	n.<美> 邻居, 邻国
	neighborhood	5neibEhud	n.附近, 邻近
	neighbour	5neibE	n.邻居(美作：neighbor)
	neighbourhood	5neibEhud	n.邻居关系(美作：neighborhood)
	neither	5naiTE, 5ni:TE	adj.pron.两者都不conj.既不...又不, 也不
	nephew	5nevju(:), 5nefju(:)	n.侄子, 外甥
	nerve	nE:v	n.神经, 胆量, 勇气, 叶脉vt.鼓起勇气
	nervous	5nE:vEs	adj.神经紧张的, 不安的, 强健有力的
	nest	nest	n.巢, 窝, 休息所, 隐匿处, 舒适的地方, (可以一个套一个的)一套器具vi.筑巢, 找鸟巢vt.造巢, 使套入
	net	net	n.网, 网络, 网状物, 净利, 实价adj.净余的, 纯粹的vt.用网捕, 净赚, 得到vi.编网[域] Nerwork operations and service centers,网络服务商
	network	5netwE:k	n.网络, 网状物, 广播网
	neutral	5nju:trEl	n.中立者, 中立国, 非彩色, 齿轮的空档adj.中立的, 中立国的, 中性的, 无确定性质的, (颜色等)不确定的
	never	5nevE	adv.决不, 从未
	nevertheless	7nevETE5les	conj.然而, 不过adv.仍然, 不过
	new	nju:	adj.新的, 初见的, 更新的adv.新近
	news	nju:z	n.新闻, 消息
	newspaper	5nju:speipE	n.报纸
	next	nekst	n.adj.下次的, 其次的, 与...连接, 下一个adv.下一次, 其次
	nice	nais	adj.美好的, 和蔼的, 正派的, 细微的, 挑剔的, 精密的, 拘泥的
	nickel	5nikl	n.[化]镍, 镍币, (美国和加拿大的)五分镍币vt.镀镍于
	nickname	5nIkneIm	n.诨号, 绰号, 昵称vt.给...取绰号, 给...起浑名
	niece	ni:s	n.侄女, 甥女
	night	nait	n.夜, 夜晚, 黑暗, 死亡
	nightmare	5naItmeE(r)	n.梦魇, 恶梦, 可怕的事物
	nine	nain	num.九, 九个
	nineteen	5nain5ti:n	num.十九
	ninety	5nainti	num.九十
	nitrogen	5naitrEdVEn	n.[化]氮
	no	nEu	n.否定, 投反对票者adj.没有, 不许, 反对adv.不, 并不, 毫不[域] Norway , 挪威
	noble	nEubl	adj.高尚的, 贵族的, 高贵的n.贵族
	nobody	5nEubEdi	pron.谁也不, 无人, 任何人, 没有任何人
	nod	nCd	v.点头, 点... n.点头
	noise	nCiz	n.喧闹声, 噪声, 噪音
	noisy	5nCizi	adj.吵杂的, 聒噪的
	nominal	5nCminl	adj.名义上的, 有名无实的, 名字的, [语]名词性的n.名词性词
	nominate	5nCmineit	vt.提名, 推荐, 任命, 命名
	none	nQn	adv.决不, 毫不pron.一个也没有, 毫无
	nonetheless	7nQnTE5les	adv.虽然如此, 但是
	nonsense	5nCnsEns	n.胡说, 废话
	noodle	5nu:dl	n.面条(常用复数), 笨蛋, 傻瓜
	noon	nu:n	n.中午
	nor	nC:	conj.也不
	norm	nC:m	n.标准, 规范
	normal	5nC:mEl	n.正规, 常态, [数学]法线adj.正常的, 正规的, 标准的
	normalisation		(=normalization)
	normalization	7nC:mElai5zeiFEn	n.正常化, 标准化
	north	nC:W	n.北, 北方, 北部adj.北, 北方的adv.在北方, 向北方
	northeast	5nC:W5i:st	n.东北adj.东北的
	northern	5nC:TEn	adj.北方的, 北部的
	northwest	5nC:W5west	n.西北方adj.西北的
	nose	nEuz	n.鼻, (飞机、船等的)前端v.侦察出
	not	nCt	adv.不
	notable	5nEutEbl	adj.值得注意的, 显著的, 著名的
	note	nEut	n.笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符vt.注意, 记录, 笔记
	notebook	5nEJtbJk	n.笔记簿, 笔记本
	nothing	5nQWiN	n.无, 不关紧要之事, [数]零adv.毫不, 决不int.什么也没有, 无
	notice	5nEutis	n.通知, 布告, 注意v.注意到
	noticeable	5nEutisEbl	adj.显而易见的, 值得注意的
	notify	5nEutifai	v.通报
	notion	5nEuFEn	n.概念, 观念, 想法, 意见, 打算, 主张, (复数)<美语>小饰物
	notorious	nEu5tC:riEs	adj.声名狼籍的
	notwithstanding	7nCtwiW5stAndiN	prep.虽然, 尽管adv.尽管, 还是conj.虽然, 尽管
	noun	naun	n.名词
	nourish	5nQriF	vt.滋养, 使健壮, 怀有(希望,仇恨等)
	novel	5nCvEl	n.小说, 长篇故事adj.新奇的, 新颖的, 异常的
	novelty	5nCvElti	n.新颖, 新奇, 新鲜, 新奇的事物
	November	nEu5vembE	n.十一月(略作Nov)
	now	nau	adv.现在, 目前, 此刻, 立刻, 马上n.现在, 如今conj.既然
	nowadays	5nauEdeiz	adv.现今, 现在
	nowhere	5nEuhwZE	adv.无处, 到处都无
	nuclear	5nju:kliE	adj.[核]核子的, 原子能的, 核的, 中心的
	nucleus	5nju:kliEs	[nuclear的复数, 见nuclear]n.核子
	nuisance	5nju:sns	n.讨厌的人或东西, 麻烦事, 损害
	numb	nQm	adj.麻木的v.失去知觉
	number	5nQmbE	n.数, 数字, 数量, 号码, 算术, 诗, 韵律v.遍号码, 共计..., 计入, 计算, 算入
	numerical	nju(:)5merikEl	adj.数字的, 用数表示的adj.数字的,用数字表示的
	numerous	5nju:mErEs	adj.众多的, 许多的, 无数的
	nurse	nE:s	n.护士, 保姆vt.护理, 看护v.照料
	nursery	5nE:sEri	n.托儿所
	nurture	5nE:tFE	n.养育, 教育, 教养, 营养品vt.养育, 给与营养物, 教养
	nut	nQt	n.坚果, 螺母, 螺帽, 难解的问题
	nutrition	nju:5triFEn	n.营养, 营养学
	nylon	5nailEn	n.尼龙
	O.K.		adv. 好
	oak	Euk	n.[植]橡树, 橡木adj.橡木制的
	oar	C:, CE	n.桨, 橹
	oath	5EuW	n.誓言, 宣誓, 诅咒
	obedience	E5bi:djEns, -diEns	n.服众, 顺从
	obedient	E5bi:djEnt, -diEnt	adj.服从的, 孝顺的
	obey	E5bei	v.服从, 顺从
	object	5CbdVikt	n.物体, 目标, 宾语, 对象vi.反对, 拒绝, 抗议vt.提出...来反对
	objection	Eb5dVekFEn	n.异议, 缺陷, 妨碍, 拒绝之理由
	objective	Eb5dVektiv	n.目标, 目的, (显微镜的)(接)物镜, [语法]宾格adj.客观的, [语法]宾格的
	obligation	7Cbli5^eiFEn	n.义务, 职责, 债务
	oblige	E5blaidV	vt.迫使, 责成
	obscure	Eb5skjuE	adj.暗的, 朦胧的, 模糊的, 晦涩的vt.使暗, 使不明显
	observation	7EbzE:5veiFEn	n.观察, 观测, 观察资料(或报告)
	observe	Eb5zE:v	vt.观察, 观测, 遵守, 评述, 说
	obsession	Eb5seFEn	n.迷住, 困扰
	obsolete	5CbsEli:t	adj.荒废的, 陈旧的n.废词, 陈腐的人
	obstacle	5CbstEkl	n.障碍, 妨害物
	obstruct	Eb5strQkt	v.阻隔, 阻塞, 遮断(道路、通道等)n.阻碍物, 障碍物
	obstruction	Eb5strQkFEn	n.阻塞, 妨碍, 障碍物
	obtain	Eb5tein	vt.获得, 得到
	obvious	5CbviEs, -vjEs	adj.明显的, 显而易见的
	occasion	E5keiVEn	n.场合, 时机, 机会
	occasional	E5keiVnEl	adj.偶然的, 非经常的, 特殊场合的, 临时的
	occupation	7Ckju5peiFEn	n.职业, 占有, 占有(房屋等)期间
	occupy	5Ckjupai	vt.占, 占用, 占领, 占据
	occur	E5kE:	vi.发生, 出现
	occurrence	E5kQrEns	n.发生, 出现, 事件, 发生的事情
	ocean	5EuFEn	n.大海, 海洋, 许多, 广阔
	o'clock	E5klCk	n.点钟, 钟头
	October	Ck5tEubE	n.十月(略作Oct)
	odd	Cd	adj.奇数的, 单数的, 单只的, 不成对的, 临时的, 不固定的, 带零头的, 余的
	odds	Cdz	n.可能的机会, 成败的可能性, 优势, 不均, 不平等, 几率, 差别
	odor	5EudE	n.气味, 名声
	odour	5EudE	n.<主英>气味, 香味,臭味,意味,名声
	of	Cv, Ev, v, f	prep....的, 由...制成的, 离, 关于, 对于
	off	C:f, Cf	adj.远的, 空闲的, 不工作的adv.离开, 在远方, 离去, 分离, 中断, 完成prep.从...离开, 脱离
	offend	E5fend	v.犯罪, 冒犯, 违反, 得罪, 使...不愉快
	offensive	E5fensiv	adj.讨厌的, 无礼的, 攻击性的n.进攻, 攻势
	offer	5CfE	n.出价, 提议, 意图vt.提供, 出价, 贡献, 使出现, 企图, 演出vi.(机会、时机等)出现, 献祭, 提议
	office	5Cfis	n.办公室, 办事处, 事务所, <英>政府机关, 部, 公职, 职责, 帮助
	officer	5CfisE	n.政府官员, 军官, 警官, 船长vt.指挥
	official	E5fiFEl	n.官员, 公务员adj.职务上的, 公务的, 官方的, 正式的
	offset	5C:fset	n.偏移量, 抵销, 弥补, 分支, 平版印刷, 胶印vt.弥补, 抵销, 用平版印刷vi.偏移, 形成分支
	offspring	" (?@) 5C:f-;5RfsprIN;"	n.(单复数同形)儿女, 子孙, 后代, 产物
	often	5C(:)fn, 5C:ftEn	adv.常常, 经常
	oil	Cil	n.油, 石油, 油类vt.给(机器等)加油, 上油, 涂油
	OK		adj.1.很好的 2.还不错的
	okay	EJ5keI	n.认可, 赞同adj.好的
	old	Euld	adj.年老的, 老的, ...岁的, 陈旧的, 古老的
	omit	Eu5mit	vt.省略, 疏忽, 遗漏
	on	Cn	prep.在...之上, 依附于, 临近, 靠近, 向, 在...时候, 关于, 涉及adv.在上, 向前, 行动中, 作用中
	once	wQns	n.adv.一次, 从前, 曾经conj.一旦
	one	wQn	pron.一个人, 任何人, 一方num.一, 一个adj.一方的, 某一, 同样的
	oneself	wQn5self	pron.自己, 亲自
	onion	5QnjEn	n.洋葱vt.加洋葱于, 因洋葱掉泪
	only	5Eunli	adj.唯一的, 单独的, 最好的, 最合适的adv.仅仅, 只不过conj.但是, 可是
	onto	5Cntu	prep.在...之上
	opaque	Eu5peik	n.不透明物adj.不透明的, 不传热的, 迟钝的
	open	5EupEn	n.公开, 户外, 空旷adj.开着的, 敞开的, (车等)无篷的, 开阔的, 营业着的, 公开的, 坦率的, 未决定的vt.打开, 公开, 开放vi.展开, 开始, 展现
	opening	5EupniN	n.开, 开放, 开始, 口子, 穴, 通路, 空缺, 机会adj.开始的, 开幕的
	opera	5RpErE	n.歌剧
	operate	5CpEreit	v.操作, 运转, 开动, 起作用, 动手术, 开刀n.[军]作军事行动
	operation	7CpE5reiFEn	n.运转, 操作, 实施, 作用, 业务, 工作, 手术, 军事行动
	operational	7CpE5reiFEnl	adj.操作的, 运作的
	operator	5CpEreitE	n.操作员, 工作者, (电话)接线员, 报务员, 手术员, 行家, 经营者, 算子
	opinion	E5pinjEn	n.意见, 看法, 主张, 判断, 评价
	opponent	E5pEunEnt	adj.对立的, 对抗的n.对手, 反对者
	opportunity	7CpE5tju:niti	n.机会, 时机
	oppose	E5pEuz	vt.反对, 使对立, 使对抗, 抗争vi.反对
	opposite	5CpEzit	adj.相对的, 对面的, 对立的, 相反的, 对等的, 对应的n.相反的事物
	oppress	E5pres	vt.压迫, 压抑
	opt	Cpt	vi.选择
	optical	5CptikEl	adj.眼的, 视力的, 光学的
	optimistic	7Cpti5mistik	adj.乐观的
	optimum	5CptimEm	n.最适宜adj.最适宜的
	option	5CpFEn	n.选项, 选择权, [经]买卖的特权
	optional	5CpFEnEl	adj.可选择的, 随意的
	or	C:,E	conj.或, 或者, 还是abbr.[军] Operational Requirement, 作战需求abbr.[军] Operations Research, 运筹学研究
	oral	5C:rEl	adj.口头的
	orange	5CrindV	n.柑, 桔, 橙, 橙色
	orbit	5C:bit	n.轨道, 势力范围, 生活常规, 眼眶vt.绕...轨道而行vi.进入轨道, 沿轨道飞行, 盘旋
	orchard	5C:tFEd	n.果园, 果园里的全部果树, <美俚>棒球场
	orchestra	5C:kistrE, -kes-	n.管弦乐队, 乐队演奏处
	order	5C:dE	n.次序, 顺序, 正常(工作)状态, 秩序, 会议规则, 命令, 定购, 定单vt.命令, 定购, 定制
	orderly	5C:dEli	adj.有秩序的, 整齐的, 整洁的n.传令兵, 勤务兵adv.依次地, 顺序地
	ordinary	5C:dinEri	adj.平常的, 普通的, 平凡的n.[律] 推事, <英>[宗]罪犯的忏悔牧师
	ore	C:(r)	n.矿石, 含有金属的岩石
	organ	5C:^En	n.[机]元件, 机构, 机关, 机关报[乐]风琴, 管风琴, 嗓音[生物]器官
	organic	C:5^Anik	adj.器官的, 有机的, 组织的, 建制的
	organisation	" - nI`z-;9R: ^EnaIzeIFLn;"	n.<主英> = organization
	organise	`R:^EnaIz	vt.组织, 创办
	organism	5C:^EnizEm	n.生物体, 有机体
	organization	7C:^Enai5zeiFEn	n.组织, 机构, 团体
	organize	5C:^Enaiz	vt.组织, 使有机化, 给予生机vi.组织起来
	orient	5C:riEnt	n.东方, 东方诸国(指地中海以东各国)adj.东方的, 上升的, 灿烂的vi.适应形势, 向东vt.使朝东, 使适应, 确定方向
	oriental	7C(:)ri5entl	n.东方人(尤指中国人和日本人)adj.东方诸国的, 亚洲的, 东方的, (珍珠等)最优质的
	orientation	7C(:)rien5teiFEn	n.方向, 方位, 定位, 倾向性, 向东方
	origin	5CridVin	n.起源, 由来, 起因, 出身, 血统, [数]原点
	original	E5ridVEnEl	adj.最初的, 原始的, 独创的, 新颖的n.原物, 原作
	originate	E5ridVineit	vt.引起, 发明, 发起, 创办vi.起源, 发生
	ornament	5C:nEmEnt	n.装饰物, 教堂用品vt.装饰, 修饰
	orphan	5C:fEn	n.孤儿, 失去生母的幼小动物adj.无双亲的, 孤儿的vt.使成孤儿
	orthodox	5C:WEdCks	adj.正统的, 传统的, 习惯的, 保守的, 东正教的
	other	5QTE	adj.其他的, 另外的, 从前的pron.其他的, 他人, 另外一个adv.另外地, 不同地
	otherwise	5QTEwaiz	adv.另外, 否则, 不同地, 别的方式adj.另外的, 其他方面的
	ought	C:t	aux.(_ to [verb] ) 应当, 应该
	ounce	auns	n.盎司, 少量, [动]雪豹
	our	5auE	pron.我们的
	ours	5auEz	pron.我们的
	ourselves	7auE5selvz	pron.我们自己
	out	aut	adj.外面的, 下台的, 出局的adv.在外, 出声地, 显露出来地, 明显地, 从头至尾地n.外面, 外出, 外观vt.赶出, 击倒, 使退场vi.外出, 暴露prep.通过
	outbreak	5autbreik	n.(战争的)爆发, (疾病的)发作
	outcome	5autkQm	n.结果, 成果
	outdoor	5autdC:	adj.室外的, 户外的, 野外的
	outer	5autE	adj.外部的, 外面的, 远离中心的n.(射击)环外命中
	outfit	5autfit	n.用具, 配备, 机构, 全套装配, vt.配备, 装备vi.得到装备
	outing	5autiN	n.外出, 旅行, 散步
	outlet	5autlet, -lit	n.出口, 出路
	outline	5Eutlain	n.大纲, 轮廓, 略图, 外形, 要点, 概要vt.描画轮廓, 略述
	outlook	5autluk	n.景色, 风光, 观点, 见解, 展望, 前景
	output	5autput	n.产量, 输出, 输出量
	outrage	5autreidV	n.暴行, 侮辱, 愤怒vt.凌辱, 引起...义愤, 强奸
	outset	5autset	n.开端, 开始
	outside	5aut5said	n.外面, 外表, 外界adj.外面的, 外表的, 外界的adv.在外面, 外表, 出界prep.在...外
	outskirts	5aJtsk\:ts	n.边界, (尤指)市郊
	outstanding	aut5stAndiN	adj.突出的, 显著的
	outward	5autwEd	adj.外面的, 外表的, 公开的, 向外的, 外出的adv.向外, 在外, 表面上n.外表, 周围世界
	oval	5EuvEl	adj.卵形的, 椭圆的n.卵形, 椭圆形
	oven	5QvEn	n.烤箱, 烤炉, 灶
	over	5EuvE	adv.结束, 越过, 从头到尾prep.在...之上, 越过adj.上面的vt.额外的东西, 越过n.额外的东西
	overall	5EuvErC:l	adj.全部的, 全面的
	overcoat	5EuvEkEut	n.外套大衣
	overcome	7EuvE5kQm	vt.战胜, 克服, 胜过, 征服vi.得胜
	overflow	5EuvE5flEu	n.溢出, 超值, 泛滥, 充满, 洋溢v.(使)泛滥, (使)溢出, (使)充溢
	overhead	5EuvEhed	adj.在头上的, 高架的n.企业一般管理费用, 天花板adv.在头顶上, 在空中, 在高处
	overhear	7EuvE5hiE	vt.无意中听到, 偷听
	overlap	5EuvE5lAp	v.(与...)交迭
	overlook	7EuvE5luk	vt.俯瞰, 耸出, 远眺, 没注意到n.眺望, 俯瞰中的景色
	overnight	5EuvE5nait	n.头天晚上adj.通宵的, 晚上的, 前夜的adv.在前一夜, 整夜, 昨晚一晚上
	overpass	7EuvE5pB:s	n.<美>天桥, 陆桥vt.胜过, 通过, 忽视
	overseas	5EuvE5si:z	adv.海外adj.外国的, 海外的
	overtake	5EuvE5teik	vt.赶上, 追上, (暴风雨、麻烦等)突然来袭, 压倒
	overthrow	7EuvE5WrEu	n.推翻, 打倒, 扔得过远得球vt.打倒, 推翻, 颠覆
	overtime	5EuvEtaim	n.超时, 加班, 延长时间adj.超时的, 加班的adv.加班地vt.使超时
	overturn	7EuvE5tE:n	n.倾覆, 破灭, 革命vt.推翻, 颠倒vi.翻倒n.翻转, 毁灭
	overwhelm	5EuvE5welm	vt.淹没, 覆没, 受打击, 制服, 压倒
	overwhelming	7EuvE5welmiN	adj.压倒性的, 无法抵抗的
	owe	Eu	vt.欠(债等), 受到...的思想, 感激, 把...归功于v.欠,应感激,应该把...归功于(to)vi.欠钱
	owing	5EuiN	adj.(_ to) 由于, 该付的, 未付的, 应归功于
	owl	Eul	n.[动]猫头鹰, 枭, 惯于晚上活动的人Object Window Library, Borland C++ 的类库
	own	Eun	adj.自己的, 特有的, (不用所有格)嫡亲的, 同胞的vt.拥有, 自认, 承认vi.承认
	owner	5EunE	n.所有者, 业主
	ownership	5EunEFip	n.所有权, 物主身份
	ox	Cks	n.牛, 公牛
	oxide	5Cksaid	n.[化]氧化物
	oxygen	5CksidVEn	n.[化]氧
	ozone	5EuzEun, Eu5z-	n.新鲜的空气, [化]臭氧
	pace	peis	n.(一)步, 速度, 步调, 步法, 步态vi.踱步, 缓慢的走vt.用步测, 踱步于, (马)溜花蹄
	pack	pAk	n.包裹, <贬>一群, 一副, 背包, 包装vt.包装, 捆扎, 塞满, 压紧, 挑选vi.包装货物, 挤, 群集, 被包装背包
	package	5pAkidV	n.包裹, 包
	packet	5pAkit	n.小包裹, 小捆v.包装信息包
	pact	pAkt	n.合同, 公约, 协定
	pad	pAd	n.垫, 衬垫, 便笺簿v.加上衬垫
	paddle	5pAdl	n.短桨, 划桨, 明轮翼vi.划桨, 戏水, 涉水vt.用桨划, 搅, 拌
	page	peidV	n.页, 记录, 事件, 专栏vt.标明...的页数, 翻...的书页vi.翻书页
	pail	peil	n.桶, 提桶
	pain	pein	n.痛苦, 疼, 痛, 劳苦, 努力vt.使痛苦
	painful	5peinful	adj.疼痛的, 使痛苦的
	paint	peint	n.油漆, 颜料, 涂料v.油漆, (用颜料等)画, 绘, 描绘, 逼真地描述
	painter	5peintE	n.画家, 油漆匠
	painting	5peintiN	n.上油漆, 着色, 绘画, 油画v.描绘
	pair	pZE	n.一对, 一双
	palace	5pAlis	n.宫, 宫殿
	pale	peil	n.栅栏, 界线, 范围, (围篱用的)尖板条adj.苍白的, 暗淡的, 无力的vi.变苍白, 失色vt.使变苍白, 使失色, 用栅栏围
	palm	pB:m	n.手掌, 棕榈, (象征胜利的)棕榈叶vt.与...握手, 藏...于掌中, 蒙混
	pamphlet	5pAmflit	n.小册子
	pan	pAn	n.平底锅, 盘子, 面板
	panda	5pAndE	n.熊猫, 黑白相间的熊类
	panel	5pAnl	n.面板, 嵌板, 仪表板, 座谈小组, 全体陪审员vt.嵌镶板
	panic	5pAnik	n.惊慌, 恐慌, 没有理由的
	panorama	7pAnE5rB:mE	n.全景全景画,全景摄影
	pant	pAnt	v.气喘n.气喘
	pants	pAnts	n.裤子, 短裤
	paper	5peipE	n.纸, 报纸, 文件, 证件, 论文, 考卷vt.用纸糊(墙壁等), 用纸包装adj.纸的, 象纸的, 纸上的
	paperback	5peIpEbAk	n.平装本, 纸面本
	parachute	5pArEFu:t	n.降落伞
	parade	pE5reid	n.游行, 炫耀, 阅兵, 检阅, 阅兵场v.游行, 炫耀, 夸耀, (使)列队行进
	paradise	5pArEdaiz	n.天堂
	paradox	5pArEdCks	n.似非而是的论点, 自相矛盾的话
	paragraph	5pArE^rB:f	n.(文章)段, 节, 段落
	parallel	5pArElel	adj.平行的, 相同的, 类似的, 并联的n.平行线, 平行面, 类似, 相似物v.相应, 平行
	paralyse	`pArElaIz	v.使麻痹, 使瘫痪, 使无助
	paralyze	5pArElaIz	vt.使瘫痪, 使麻痹
	parameter	pE5rAmitE	n.参数, 参量, <口>起限定作用的因素
	parasite	5pArEsait	n.寄生虫, 食客
	parcel	5pB:sl	n.小包, 包裹vt.打包, 捆扎
	pardon	5pB:dn	vt.原谅, 宽恕n.原谅, 宽恕
	parent	5pZErEnt	n.双亲, 父亲(或母亲)
	park	pB:k	n.公园, 停车场, 炮场vt.停放(汽车等)
	parliament	5pB:lEmEnt	n.国会, 议会
	part	pB:t	n.部分, 局部, 零件, 角色vt.分开, 分离, 分配vi.分开, 断裂, 分手adv.部分地, 有几分adj.部分的, 局部的
	partial	5pB:FEl	adj.部分的, 局部的, 偏袒的, 偏爱的n.泛音
	participant	pB:5tisipEnt	n.参与者, 共享者adj.参与的
	participate	pB:5tisipeit	vi.参与, 参加, 分享, 分担
	particle	5pB:tikl	n.粒子, 点, 极小量, 微粒, 质点, 小品词, 语气
	particular	pE5tikjulE	n.细节, 详细adj.特殊的, 特别的, 独特的, 详细的, 精确的, 挑剔
	partly	5pB:tlI	adv.部分, 几分
	partner	5pB:tnE	n.合伙人, 股东, 舞伴, 伴侣vt.与...合伙, 组成一对vi.做伙伴, 当助手
	party	5pB:ti	n.党, 政党, 随行人员, [律]当事人, 社交会
	pass	pB:s	n.经过, 关口, 途径, 护照, 通行证, 入场券, 传球, 及格vt.通过, 审查通过, 忽略, 传递vi.经过, 变化, 流通, 宣判, 被忽略, 终止, 传递, 不叫牌
	passage	5pAsidV	n.通过, 经过, 通道, 通路, (一)段, (一)节
	passenger	5pAsindVE	n.乘客, 旅客
	passerby	pB:sE5baI	n.过路人, 行人
	passion	5pAFEn	n.激情, 热情
	passive	5pAsiv	adj.被动的
	passport	5pB:spC:t	n.护照
	past	pB:st	n.过去, 往时adj.过去的, 结束的prep.越过, 晚于vbl.pass的过去分词
	paste	peist	n.糊, 面团, 黏土团vt.用浆糊粘, 张贴n.粘贴
	pastime	5pB:staim	n.消遣, 娱乐
	pasture	5pB:stFE	n.牧地, 草原, 牧场v.放牧, 牧(牛、羊)等, 吃草
	pat	pAt	n.轻拍, (黄油)小块v.轻拍adv.适时, 正好, 恰好adj.恰好的, 合适的, 人为的
	patch	pAtF	n.片, 补缀, 碎片, 斑纹, 斑点, 小块地, 眼罩, 傻瓜vt.修补, 补缀, 掩饰, 平息
	patent	5peitEnt, 5pAtEnt	n.专利权, 执照, 专利品adj.特许的, 专利的, 显著的, 明白的, 新奇的vt.取得...的专利权, 请准专利
	path	pB:W	n.小路, 小径, 路线, 轨道, 通道
	pathetic	pE5Wetik	adj.可怜的, 悲惨的
	patience	5peiFEns	n.耐性, 忍耐
	patient	5peiFEnt	n.病人, 患者adj.忍耐的, 耐心的
	patriotic	7pAtri5Ctik, 7peitri-	adj.爱国的, 有爱国心的
	patrol	pE5trEul	v.出巡, 巡逻n.巡逻
	patron	5peitrEn, 5pA-	n.(对某人, 某种目标, 艺术等)赞助人, 资助人
	pattern	5pAtEn	n.模范, 式样, 模式, 样品, 格调, 图案vt.模仿, 仿造, 以图案装饰vi.形成图案
	pause	pC:z	n.中止, 暂停, 休止符vi.暂停, 中止, 停顿, 踌躇n.暂停n.DOS命令：暂停批文件处理, 在继续处理之前等待按任一键
	pave	peiv	v.铺
	pavement	5peivmEnt	n.人行道, 公路
	paw	pC:	n.手掌, 手爪v.以蹄扒地, 抓, 笨拙地使用, 费力地前进, (人)用手笨拙地摸abbr.[军] Plasma-Arc Welding, 等离子弧焊
	pay	pei	n.薪水, 工资v.支付, 交纳, 给予, 有利, 值得, 合算
	payment	5peimEnt	n.付款, 支付, 报酬, 偿还, 报应, 惩罚
	pea	pi:	n.豌豆
	peace	pi:s	n.和平, 和睦, 安宁, 静寂vi.安静下来
	peaceful	5pi:sful	adj.和平的, 平静的, 安宁的, 爱好和平的
	peach	pi:tF	n.桃子, 桃树, 桃色, <美俚>受人喜欢的人(或物)vt.告发vi.告密
	peak	pi:k	n.山顶, 顶点, 帽舌, (记录的)最高峰adj.最高的vi.到达最高点, 消瘦, 缩小vt.使竖起, 使达到最高点
	peanut	5pi:nQt	n.花生
	pear	pZE	n.梨子, 梨树
	pearl	pE:l	n.珍珠
	peasant	5pezEnt	n.农夫, 乡下人
	pebble	5pebl	n.小圆石, 小鹅卵石
	peculiar	pi5kju:ljE	adj.奇特的, 罕见的, 特殊的n.特有财产, 特权
	pedal	5pedl	n.踏板v.踩...的踏板
	pedestrian	pe5destriEn	n.步行者adj.徒步的, 呆板的, 通俗的
	peel	pi:l	v.剥, 削, 剥落
	peep	pi:p	n.窥看, 隐约看见vi.窥视, 偷看
	peer	piE	n.同等的人, 贵族vi.凝视, 窥视vt.与...同等, 封为贵族
	pen	pen	n.钢笔, 围栏, 围圈, 作家vt.写, 关入栏中
	penalty	5penlti	n.处罚, 罚款
	pencil	5pensl	n.铅笔
	pendulum	5pendjulEm	n.钟摆, 摇锤
	penetrate	5penitreit	vt.穿透, 渗透, 看穿, 洞察vi.刺入, 看穿, 渗透, 弥漫
	peninsula	pi5ninsjulE	n.半岛
	penny	5peni	n.便士, <美> 分
	pension	5penFEn	n.养老金, 退休金
	people	5pi:pl	n.人, 人们, 民族, 人类, 公民vt.使住（满）人
	pepper	5pepE	n.胡椒粉
	per	pE:, pE	prep.每, 每一, 由, 经
	per cent	pE5sent	n.百分数, 有固定利率之公债
	perceive	pE5si:v	vt.察觉v.感知, 感到, 认识到
	percent	pE5sent	n.百分比, 百分数
	percentage	pE5sentidV	n.百分数, 百分率, 百分比
	perfect	5pE:fikt	n.完成式adj.完美的, 全然的, 理想的, 正确的, 熟练的, 精通的完成式的vt.使完美, 修改, 使熟练
	perfection	pE5fekFEn	n.尽善尽美, 完美, 完成
	perform	pE5fC:m	vt.履行, 执行, 表演, 演出v.完成任务
	performance	pE5fC:mEns	n.履行, 执行, 成绩, 性能, 表演, 演奏
	perfume	5pE:fju:m	n.香味, 芳香, 香水vt.使发香, 洒香水于, 发香味
	perhaps	pE5hAps	adv.或许, 多半
	period	5piEriEd	n.时期, 学时, 节, 句点, 周期, （妇女的）经期adj.过去某段时期的int.没有了
	periodical	7piEri5CdikEl	adj.周期的, 定期的n.期刊, 杂志
	perish	5periF	vi.毁灭, 死亡, 腐烂, 枯萎vt.毁坏, 使麻木
	permanent	5pE:mEnEnt	adj.永久的, 持久的
	permeate	5pE:mieit	vt.弥漫, 渗透, 透过, 充满vi.透入
	permission	pE(:)5miFEn	n.许可, 允许
	permit	pE(:)5mit	n.通行证, 许可证, 执照v.许可, 允许, 准许
	perpetual	pE5petjuEl	adj.永久的
	perplex	pE5pleks	v.困惑
	persecute	5pE:sikju:t	v.迫害
	persevere	7pE:si5viE	v.坚持
	persist	pE(:)5sist	vi.坚持, 持续
	person	5pE:sn	n.人, 身体, 容貌, [语法]人称
	personal	5pE:sEnl	adj.私人的, 个人的, 亲自的, 容貌的, 身体的, 人身的, 针对个人的adj.[语法]人称的
	personality	7pE:sE5nAliti	n.个性, 人格, 人物, 名人, (用复数)诽谤、人身攻击
	personnel	7pE:sE5nel	n.人员, 职员
	perspective	pE5spektiv	n.透视画法, 透视图, 远景, 前途, 观点, 看法, 观点, 观察
	persuade	pE5sweid	v.说服, 劝说, (使)相信, 劝某人做(不做)某事
	persuasion	pE(:)5sweiVEn	n.说服, 说服力
	pessimistic	7pesi5mistik	adj.悲观的, 厌世的
	pest	pest	n.有害物
